week,channel,vendor,spend,vendor_ui,rule_based,mmm
2022-06-27,paid_display,tradedesk,9900,601,241,514
2022-07-04,paid_display,google_uac,5880,489,408,385
2022-07-04,paid_display,tradedesk,8820,534,214,457
2022-07-11,paid_display,google_uac,6300,523,436,412
2022-07-11,paid_display,tradedesk,9540,578,232,495
2022-07-18,paid_display,google_uac,6720,556,464,438
2022-07-18,paid_display,tradedesk,10260,623,250,533
2022-07-25,paid_display,google_uac,6860,578,482,455
2022-07-25,paid_display,tradedesk,10620,645,258,551
2022-08-01,paid_display,google_uac,7700,649,521,473
2022-08-01,paid_display,tradedesk,10980,667,267,570
2022-08-08,paid_display,google_uac,8680,685,551,491
2022-08-08,paid_display,tradedesk,11340,689,276,588
2022-08-15,paid_display,google_uac,7770,645,538,508
2022-08-15,paid_display,tradedesk,11700,712,285,608
2022-08-22,paid_display,google_uac,7980,667,556,525
2022-08-22,paid_display,tradedesk,12060,734,294,627
2022-08-29,paid_display,google_uac,8260,689,575,543
2022-08-29,paid_display,tradedesk,12420,756,303,646
2022-09-05,paid_display,google_uac,7980,667,556,525
2022-09-05,paid_display,tradedesk,11880,723,290,618
2022-09-12,paid_display,google_uac,7560,634,529,500
2022-09-12,paid_display,tradedesk,11340,689,276,588
2022-09-19,paid_display,google_uac,8260,689,575,543
2022-09-19,paid_display,tradedesk,12420,756,303,646
2022-09-26,paid_display,google_uac,8540,712,594,561
2022-09-26,paid_display,tradedesk,12780,778,311,664
2022-10-03,paid_display,google_uac,8820,734,613,579
2022-10-03,paid_display,tradedesk,13140,801,321,684
2022-10-10,paid_display,google_uac,9100,756,631,596
2022-10-10,paid_display,tradedesk,13500,823,330,703
2022-10-17,paid_display,google_uac,9380,778,649,613
2022-10-17,paid_display,tradedesk,13860,845,338,722
2022-10-24,paid_display,google_uac,9660,801,668,631
2022-10-24,paid_display,tradedesk,14220,867,347,741
2022-10-31,paid_display,google_uac,9940,823,687,649
2022-10-31,paid_display,tradedesk,14580,889,356,760
2022-11-07,paid_display,google_uac,10220,978,652,669
2022-11-07,paid_display,tradedesk,15120,1134,341,864
2022-11-14,paid_display,google_uac,10640,1023,683,545
2022-11-14,paid_display,tradedesk,15660,1189,356,891
2022-11-21,paid_display,google_uac,11060,1067,712,568
2022-11-21,paid_display,tradedesk,16200,1245,373,923
2022-11-28,paid_display,google_uac,11480,1112,742,593
2022-11-28,paid_display,tradedesk,16740,1301,389,956
2022-12-05,paid_display,google_uac,11900,1156,771,617
2022-12-05,paid_display,tradedesk,17280,1356,406,989
2022-12-12,paid_display,google_uac,12320,1201,801,641
2022-12-12,paid_display,tradedesk,17820,1412,423,1021
2022-12-19,paid_display,google_uac,12740,1245,831,666
2022-12-19,paid_display,tradedesk,18360,1467,439,1054
2022-12-26,paid_display,google_uac,13160,1289,860,690
2022-12-26,paid_display,tradedesk,18900,1523,456,1087
